block	raw_low	raw_high	rows	errors	calibrated_error	calibrated_mapq
0	0.00192852726	0.00413218979	84975	14	0.000170636414988	37.6792828
1	0.00413224660	0.00435199961	3163	2	0.000790139064475	31.0229647
2	0.00435200613	0.00562933879	9212	8	0.000922609356344	30.3498215
3	0.00562941097	0.00617345469	3035	3	0.00115283267457	29.3823372
4	0.00617408659	0.00775133632	11421	17	0.00153213097531	28.1470411
5	0.00775136193	0.00797333568	846	2	0.00295159386068	25.2994340
6	0.00797342975	0.00920582470	5862	18	0.00315538120416	25.0094817
7	0.00920695532	0.0103194509	1567	14	0.00924744897959	20.3397806
8	0.0103198653	0.0119389715	1877	23	0.0125133120341	19.0262773
9	0.0119401645	0.0120109376	77	1	0.0192307692308	17.1600334
10	0.0120113846	0.0134739475	1259	28	0.0226190476190	16.4552569
11	0.0134745110	0.0160766579	1939	48	0.0250000000000	16.0205999
12	0.0160769671	0.0176734310	978	35	0.0362614913177	14.4055434
13	0.0176749043	0.0309408605	4405	170	0.0386972310486	14.1232011
14	0.0309475325	0.0318177082	172	9	0.0549132947977	12.6032250
15	0.0318220034	0.0355489403	573	34	0.0601045296167	12.2109280
16	0.0355538651	0.0357796177	31	2	0.0781250000000	11.0720997
17	0.0357940719	0.0419031605	730	66	0.0909712722298	10.4109573
18	0.0419111438	0.0471712314	460	46	0.100867678959	9.96247972
19	0.0471757874	0.0564597584	608	61	0.100985221675	9.95742177
20	0.0564802997	0.0596922673	157	17	0.110759493671	9.55619038
21	0.0596939772	0.0692874268	352	48	0.137393767705	8.62032967
22	0.0693172812	0.0749603361	174	27	0.157142857143	8.03705355
23	0.0749859139	0.0789674595	115	18	0.159482758621	7.97286261
24	0.0789904743	0.0813924968	56	9	0.166666666667	7.78151250
25	0.0814399049	0.119039260	823	162	0.197208737864	7.05073846
26	0.119075216	0.120844111	32	7	0.227272727273	6.43452676
27	0.120859757	0.151284441	430	98	0.228538283063	6.41041040
28	0.151313692	0.165103227	186	44	0.237967914439	6.23481596
29	0.165109709	0.184453234	244	85	0.348979591837	4.57199970
30	0.184533834	0.193088830	94	34	0.363157894737	4.39904510
31	0.193126485	0.200069219	101	41	0.406862745098	3.90552075
32	0.200090721	0.212208480	179	79	0.441666666667	3.54905376
33	0.212241560	0.226683855	299	133	0.445000000000	3.51639989
34	0.226921469	0.230622634	78	39	0.500000000000	3.01029996
35	0.230703503	0.237060592	121	66	0.545081967213	2.63538185
36	0.237085119	0.254652828	220	122	0.554298642534	2.56256185
37	0.254703045	0.490244746	2081	1208	0.580451488953	2.36234070
38	0.490257353	0.495138466	72	44	0.609589041096	2.14962849
39	0.495166779	0.544564247	1038	685	0.659769008662	1.80608088
40	0.544567227	0.548375547	91	63	0.690217391304	1.61014102
41	0.548382521	0.580234051	359	265	0.737500000000	1.32237975
42	0.580432117	0.624850750	254	213	0.837254901961	0.771423011
43	0.625082672	0.705311418	1302	1097	0.842287029931	0.745398868
44	0.705401421	0.710947514	111	94	0.843750000000	0.737862142
45	0.710970879	0.767387450	857	764	0.891025641026	0.501097981
46	0.767394841	0.770677269	81	74	0.908536585366	0.416575796
47	0.770687163	0.776950538	164	155	0.942424242424	0.257535509
48	0.776974440	0.808230579	1996	1902	0.952679018528	0.210533994
49	0.808245301	0.810832679	333	318	0.953592814371	0.206370301
50	0.810837388	0.919462264	1829	1765	0.964754098361	0.155833678
51	0.919764876	0.963761151	528	514	0.972589792060	0.120702929
52	0.963769495	0.966781557	73	72	0.979729729730	0.0889371316
53	0.966785550	0.985733032	681	672	0.986070381232	0.0609208598
54	0.985781431	0.989296556	142	141	0.989510489510	0.0457959760
55	0.989309728	0.994166791	94	94	0.994736842105	0.0229179678
