block	raw_low	raw_high	rows	errors	calibrated_error	calibrated_mapq
0	0.00259410380	0.00350175099	37998	0	1.31582410063e-05	48.8080216
1	0.00350175262	0.00424314616	238317	13	5.66470010658e-05	42.4682308
2	0.00424318248	0.00516176550	23524	6	0.000276301806589	35.5861628
3	0.00516180694	0.00596872484	15237	4	0.000295314345715	35.2971546
4	0.00596878724	0.00666241767	13181	6	0.000493096646943	33.0706795
5	0.00666248705	0.00763240177	28990	16	0.000569142147563	32.4477925
6	0.00763240550	0.00772895664	1621	1	0.000924784217016	30.3395959
7	0.00772898970	0.00790727325	2023	2	0.00123517786561	29.0827050
8	0.00790745206	0.00870177057	17374	36	0.00210071942446	26.7763195
9	0.00870183669	0.00906671304	2537	6	0.00256107171001	25.9157826
10	0.00906686299	0.0102221444	5723	18	0.00323200559050	24.9052790
11	0.0102221826	0.0109532112	2598	9	0.00365525202001	24.3708267
12	0.0109532522	0.0136171589	8032	42	0.00529067596166	22.7648884
13	0.0136174858	0.0148782488	2864	16	0.00575916230366	22.3964068
14	0.0148795424	0.0150974952	339	2	0.00735294117647	21.3353891
15	0.0150976367	0.0158488043	1144	10	0.00917030567686	20.3761619
16	0.0158489160	0.0220773369	8155	91	0.0112187346739	19.5005612
17	0.0220778920	0.0302619673	7320	97	0.0133178527524	18.7556579
18	0.0302650891	0.0315453745	761	12	0.0164041994751	17.8504496
19	0.0315488838	0.0320468806	283	5	0.0193661971831	17.1295565
20	0.0320493281	0.0404585674	3402	69	0.0204231560388	16.8987714
21	0.0404653735	0.0435429923	942	26	0.0281018027572	15.5126582
22	0.0435468443	0.0513707511	1660	51	0.0310054184226	15.0856240
23	0.0513712950	0.0585731193	1072	33	0.0312208760485	15.0555491
24	0.0585892126	0.0632355958	572	20	0.0357766143106	14.4640076
25	0.0632398129	0.0684676766	555	22	0.0404676258993	13.9289227
26	0.0684698820	0.0690551102	69	3	0.0500000000000	13.0103000
27	0.0690686554	0.0802939013	890	45	0.0510662177329	12.9186631
28	0.0802961439	0.0829196200	211	11	0.0542452830189	12.6563802
29	0.0829361901	0.0970006436	834	52	0.0628742514970	12.0152717
30	0.0970149711	0.0990502983	100	7	0.0742574257426	11.2926011
31	0.0990887582	0.0994973630	28	2	0.0862068965517	10.6445799
32	0.0995144770	0.134413764	1243	118	0.0952572347267	10.2110203
33	0.134424388	0.159191251	596	57	0.0963149078727	10.1630649
34	0.159211218	0.194987267	650	78	0.120583717358	9.18711332
35	0.195160419	0.221626475	340	48	0.142228739003	8.47012640
36	0.221642420	0.224695742	32	5	0.166666666667	7.78151250
37	0.224808648	0.230302140	60	10	0.172131147541	7.64140536
38	0.230393916	0.234527752	58	10	0.177966101695	7.49662713
39	0.234580085	0.269798309	344	63	0.184057971014	7.35045370
40	0.269990414	0.271487504	18	4	0.236842105263	6.25541087
41	0.271557450	0.292901784	151	39	0.259868421053	5.85246492
42	0.293119788	0.295636386	19	5	0.275000000000	5.60667306
43	0.295681357	0.313755453	109	33	0.304545454545	5.16347878
44	0.313829541	0.335312188	148	48	0.325503355705	4.87444530
45	0.335335910	0.340531111	29	10	0.350000000000	4.55931956
46	0.340853959	0.341823906	8	3	0.388888888889	4.10174465
47	0.341856956	0.373482764	242	97	0.401234567901	3.96601658
48	0.373658597	0.374263376	7	3	0.437500000000	3.59021943
49	0.374311060	0.378115475	26	12	0.462962962963	3.34453751
50	0.378297240	0.423984021	490	228	0.465376782077	3.32195288
51	0.424038708	0.451769054	2179	1079	0.495183486239	3.05233847
52	0.451777458	0.456252486	497	250	0.503012048193	2.98421613
53	0.456279278	0.523315012	2194	1107	0.504555808656	2.97090790
54	0.523447931	0.562213600	382	202	0.528720626632	2.76773746
55	0.562563598	0.573645115	66	36	0.544776119403	2.63781938
56	0.573672175	0.595466018	98	55	0.560606060606	2.51342211
57	0.595491707	0.651478708	179	115	0.641666666667	1.92690521
58	0.651620030	0.656160653	83	55	0.660714285714	1.79986303
59	0.656166315	0.661973596	153	102	0.665584415584	1.76796855
60	0.661978960	0.684447825	171	117	0.683139534884	1.65490580
61	0.684449792	0.692519784	140	101	0.719858156028	1.42753070
62	0.692521095	0.693889678	30	22	0.725806451613	1.39179176
63	0.693911731	0.751197517	375	277	0.738031914894	1.31924857
64	0.751204371	0.786648571	546	426	0.779707495430	1.08068291
65	0.786668897	0.795520067	249	203	0.814000000000	0.893755951
66	0.795522690	0.838325918	1912	1559	0.815211709357	0.887295909
67	0.838382602	0.852591455	184	155	0.840540540541	0.754413350
68	0.852706552	0.855087638	34	29	0.842857142857	0.742460284
69	0.855128825	0.870071054	189	166	0.876315789474	0.573393631
70	0.870258331	0.886139035	186	171	0.917112299465	0.375774822
71	0.886552811	0.906711817	227	213	0.936403508772	0.285369676
72	0.906821191	0.912480235	56	53	0.938596491228	0.275210737
73	0.912549794	0.930955291	322	307	0.952012383901	0.213574022
74	0.931021929	0.946394265	352	339	0.961756373938	0.169349268
75	0.946395159	0.956187665	328	316	0.962006079027	0.168221836
76	0.956256032	0.965345085	385	377	0.977979274611	0.0967034871
77	0.965398848	0.968537509	186	184	0.986631016043	0.0584523604
78	0.968548119	0.975545943	473	469	0.990506329114	0.0414274507
79	0.975555956	0.992924333	1457	1450	0.994855967078	0.0223979084
