block	raw_low	raw_high	rows	errors	calibrated_error	calibrated_mapq
0	0.00376497908	0.00646825321	119921	0	4.16937676156e-06	50.0000000
1	0.00646832678	0.00665323157	2255	1	0.000664893617021	31.7724784
2	0.00665350864	0.00689167064	1970	2	0.00126839167935	28.9674662
3	0.00689227134	0.00711820647	1483	3	0.00235849056604	26.2736586
4	0.00711829728	0.00752592692	2095	5	0.00262404580153	25.8102859
5	0.00752596278	0.00820373558	1737	8	0.00489067894131	23.1063085
6	0.00820396841	0.00886438508	749	4	0.00600000000000	22.2184875
7	0.00886487588	0.00918020401	302	2	0.00825082508251	20.8350262
8	0.00918089319	0.0108900247	973	8	0.00872689938398	20.5914003
9	0.0108909179	0.0156444572	1682	17	0.0103980986334	19.8304607
10	0.0156452134	0.0163004901	224	4	0.0200000000000	16.9897000
11	0.0163074490	0.0168597270	127	4	0.0351562500000	14.5399746
12	0.0168648269	0.0179252680	188	7	0.0396825396825	14.0140054
13	0.0179268029	0.0184999388	69	3	0.0500000000000	13.0103000
14	0.0185081959	0.0187633410	38	2	0.0641025641026	11.9312460
15	0.0187644325	0.0205646083	177	11	0.0646067415730	11.8972216
16	0.0205646213	0.0242016129	322	21	0.0665634674923	11.7676406
17	0.0242181327	0.0266899522	211	14	0.0683962264151	11.6496786
18	0.0267140921	0.0282879081	109	9	0.0863636363636	10.6366908
19	0.0283318236	0.0376737453	602	56	0.0936981757877	10.2826886
20	0.0377006195	0.0474766195	559	65	0.116964285714	9.31946727
21	0.0474893749	0.0476647727	14	2	0.166666666667	7.78151250
22	0.0476804897	0.0487376079	52	9	0.179245283019	7.46552264
23	0.0487447828	0.0528679565	141	29	0.207746478873	6.82466328
24	0.0528884344	0.0546554364	59	14	0.241666666667	6.16783248
25	0.0547240414	0.0630703717	174	47	0.271428571429	5.66344439
26	0.0630882084	0.285200566	1503	451	0.300199468085	5.22590082
27	0.285222203	0.289270699	32	11	0.348484848485	4.57816100
28	0.289535999	0.299326599	101	44	0.436274509804	3.60240161
29	0.299355239	0.299436301	2	1	0.500000000000	3.01029996
30	0.299493611	0.308554083	79	41	0.518750000000	2.85041890
31	0.308874041	0.571962118	2950	1804	0.611487631311	2.13612323
32	0.571962237	0.582201302	172	119	0.690751445087	1.60678198
33	0.582223535	0.596277058	205	143	0.696601941748	1.57015319
34	0.596293688	0.597937286	25	18	0.711538461538	1.47801620
35	0.598176837	0.607444406	101	73	0.720588235294	1.42312833
36	0.607454836	0.611055613	36	27	0.743243243243	1.28869030
37	0.611295581	0.631187201	176	147	0.833333333333	0.791812460
38	0.631287932	0.710951447	1236	1033	0.835489086500	0.780592187
39	0.711079478	0.721109092	146	123	0.840136054422	0.756503772
40	0.721123934	0.756904244	479	432	0.901041666667	0.452551256
41	0.756965160	0.809974611	1381	1309	0.947539797395	0.234025403
42	0.809991479	0.841063440	1601	1526	0.952871410737	0.209657031
43	0.841081738	0.858819246	1438	1376	0.956567060459	0.192845782
44	0.858829498	0.904925585	742	716	0.964333781965	0.157726190
45	0.905094802	0.926935613	130	128	0.980916030534	0.0836816799
46	0.927088201	0.942096531	84	83	0.982352941176	0.0773245023
47	0.943806887	0.980574548	85	85	0.994186046512	0.0253233652
