block	raw_low	raw_high	rows	errors	calibrated_error	calibrated_mapq
0	0.00372535083	0.00684540486	415052	1	3.61399628481e-06	50.0000000
1	0.00684549240	0.00717026647	3343	1	0.000448564593301	33.4817501
2	0.00717057195	0.0109059792	11948	5	0.000460289563980	33.3696887
3	0.0109068481	0.0125564439	1259	2	0.00198412698413	27.0243054
4	0.0125598442	0.0174314305	2875	6	0.00226008344924	26.4587553
5	0.0174315292	0.0237190183	900	4	0.00499445061043	23.0151228
6	0.0237255283	0.0258987267	164	1	0.00909090909091	20.4139269
7	0.0259098448	0.0275023915	92	1	0.0161290322581	17.9239169
8	0.0275261924	0.0351596288	334	5	0.0164179104478	17.8468212
9	0.0351624601	0.0571536049	390	7	0.0191815856777	17.1711549
10	0.0571632683	0.0807231739	140	3	0.0248226950355	16.0515107
11	0.0809606537	0.0887245163	37	1	0.0394736842105	14.0369234
12	0.0888103768	0.151767522	269	18	0.0685185185185	11.6419204
13	0.151979432	0.155107826	21	2	0.113636363636	9.44482672
14	0.155495897	0.157528907	14	2	0.166666666667	7.78151250
15	0.158091158	0.167501822	36	6	0.175675675676	7.55288367
16	0.168548003	0.269147128	203	39	0.193627450980	7.13033072
17	0.269220740	0.271552294	9	2	0.250000000000	6.02059991
18	0.271702051	0.271915764	3	1	0.375000000000	4.25968732
19	0.272075146	0.302315921	75	30	0.401315789474	3.96513753
20	0.302576035	0.360505104	129	53	0.411538461538	3.85589570
21	0.360914081	0.361420065	2	1	0.500000000000	3.01029996
22	0.362178355	0.478193671	3726	1877	0.503756372417	2.97779447
23	0.478202492	0.517709494	1330	675	0.507513148009	2.94552702
24	0.517716765	0.545995474	336	173	0.514836795252	2.88330422
25	0.546394110	0.600647032	266	140	0.526217228464	2.78834937
26	0.600755751	0.611205995	28	15	0.534482758621	2.72066300
27	0.611597717	0.613652229	5	3	0.583333333333	2.34083206
28	0.613728285	0.652417600	92	59	0.639784946237	1.93965983
29	0.652486026	0.701196909	443	296	0.667792792793	1.75358272
30	0.701727808	0.705150783	29	20	0.683333333333	1.65367394
31	0.705256402	0.726428568	107	78	0.726851851852	1.38554099
32	0.726871014	0.742670059	49	38	0.770000000000	1.13509275
33	0.742756367	0.835039496	1406	1093	0.777185501066	1.09475310
34	0.835056722	0.847661316	685	555	0.809766763848	0.916400524
35	0.847664237	0.902723491	758	620	0.817523056653	0.874999901
36	0.904272616	0.933834493	4	4	0.900000000000	0.457574906
