block	raw_low	raw_high	rows	errors	calibrated_error	calibrated_mapq
0	0.00448507490	0.00923170429	52093	5	0.000105578377548	39.7642502
1	0.00923176482	0.0102133388	4928	1	0.000304321363360	35.1666756
2	0.0102140233	0.0116780251	2425	2	0.00103050288541	29.8695079
3	0.0116825830	0.0203071330	3781	5	0.00145425700687	28.3735884
4	0.0203112978	0.0214644261	656	3	0.00532724505327	22.7349733
5	0.0214679670	0.0217865109	216	1	0.00691244239631	21.6036847
6	0.0217911713	0.0220923722	208	1	0.00717703349282	21.4405503
7	0.0220928416	0.0426926911	2382	52	0.0220310532942	16.5696474
8	0.0426950008	0.0484921299	164	4	0.0272727272727	15.6427143
9	0.0485349074	0.0530502871	144	5	0.0379310344828	14.2100531
10	0.0530583002	0.0640913844	269	11	0.0425925925926	13.7066592
11	0.0641658902	0.0696329921	83	5	0.0654761904762	11.8391660
12	0.0696737170	0.0723902211	33	2	0.0735294117647	11.3353891
13	0.0724167526	0.167740181	357	35	0.0991620111732	10.0365467
14	0.169495285	0.207376018	49	5	0.110000000000	9.58607315
15	0.208216265	0.221158594	13	2	0.178571428571	7.48188027
16	0.223201513	0.279199690	32	7	0.227272727273	6.43452676
17	0.286912680	0.293564707	7	2	0.312500000000	5.05149978
18	0.294266701	0.320073247	16	6	0.382352941176	4.17535565
19	0.322146326	0.331294984	5	2	0.416666666667	3.80211242
20	0.331871867	0.394552767	52	22	0.424528301887	3.72093351
21	0.394728899	0.408468306	36	16	0.445945945946	3.50717780
22	0.408531606	0.471888602	200	94	0.470149253731	3.27764249
23	0.471976489	0.520476162	895	434	0.484933035714	3.14318229
24	0.520500064	0.520829976	8	4	0.500000000000	3.01029996
25	0.520830870	0.528051436	196	99	0.505076142132	2.96643145
26	0.528068900	0.564281642	231	131	0.566810344828	2.46562232
27	0.564552486	0.600241244	48	28	0.581632653061	2.35351220
28	0.602791965	0.631846547	17	11	0.638888888889	1.94574665
29	0.631910026	0.649336517	66	45	0.679104477612	1.68063406
30	0.649370492	0.656773388	191	133	0.695312500000	1.57819963
31	0.656774223	0.664171100	233	165	0.707264957265	1.50417859
32	0.664188504	0.767958283	219	161	0.734090909091	1.34250154
33	0.768123269	0.784126818	105	82	0.778301886792	1.08851917
34	0.784246624	0.785687745	38	30	0.782051282051	1.06764768
35	0.785732031	0.787681699	39	31	0.787500000000	1.03749438
36	0.787897170	0.800216556	189	151	0.797368421053	0.983409681
37	0.800380588	0.877377689	180	162	0.897790055249	0.468252096
38	0.877380788	0.881639063	154	148	0.958064516129	0.186052445
39	0.881679654	0.948838294	3690	3549	0.961663505825	0.169768647
40	0.949176788	0.990245342	68	66	0.963768115942	0.160274454
