block	raw_low	raw_high	rows	errors	calibrated_error	calibrated_mapq
0	0.00460143387	0.00698247412	99834	6	6.51074272550e-05	41.8636947
1	0.00698255002	0.00808180682	46065	6	0.000141101897278	38.5046715
2	0.00808189809	0.0101882601	42443	9	0.000223824333239	36.5009270
3	0.0101885386	0.0123499241	11715	3	0.000298736770229	35.2471132
4	0.0123500982	0.0269770958	11535	13	0.00117024965326	29.3172148
5	0.0269876681	0.0337087885	1468	8	0.00578624914908	22.3760287
6	0.0337155610	0.0473822914	1759	10	0.00596590909091	22.2432337
7	0.0473884456	0.0485686436	110	1	0.0135135135135	18.6923172
8	0.0485863835	0.0537471771	598	11	0.0191986644407	17.1672898
9	0.0537674651	0.0604021661	714	25	0.0356643356643	14.4776586
10	0.0604408085	0.0644897670	211	9	0.0448113207547	13.4861226
11	0.0644998923	0.0725052878	340	20	0.0601173020528	12.2100052
12	0.0725168586	0.0901001096	406	27	0.0675675675676	11.7026172
13	0.0903938860	0.101208560	143	10	0.0729166666667	11.3717319
14	0.101438768	0.117656857	127	10	0.0820312500000	10.8602067
15	0.117741875	0.162636951	240	23	0.0975103734440	10.1094918
16	0.163014024	0.186288893	84	9	0.111764705882	9.51695320
17	0.187252209	0.192404449	22	3	0.152173913043	8.17659792
18	0.192704186	0.217595145	86	15	0.178160919540	7.49187554
19	0.217976660	0.252898008	87	16	0.187500000000	7.26998728
20	0.253503501	0.290072232	74	19	0.260000000000	5.85026652
21	0.290708929	0.328632057	64	17	0.269230769231	5.69875308
22	0.328650147	0.346490353	18	6	0.342105263158	4.65840244
23	0.348154694	0.384886146	69	24	0.350000000000	4.55931956
24	0.386825770	0.465020806	163	70	0.429878048780	3.66654731
25	0.465058178	0.489093572	1132	532	0.469991173875	3.27910298
26	0.489100665	0.504270136	1141	560	0.490805604203	3.09090487
27	0.504283011	0.504425585	2	1	0.500000000000	3.01029996
28	0.504442036	0.581704438	834	427	0.511976047904	2.90750356
29	0.581936955	0.592943430	30	18	0.596774193548	2.24189965
30	0.593702912	0.651572287	223	136	0.609375000000	2.15115367
31	0.651594520	0.660407662	321	216	0.672360248447	1.72397971
32	0.660426497	0.748922408	184	124	0.672972972973	1.72002377
33	0.749695599	0.778435051	71	52	0.729166666667	1.37173193
34	0.778559625	0.858902872	378	281	0.742744063325	1.29160811
35	0.858927429	0.871383011	44	33	0.744444444444	1.28167707
36	0.871474087	0.880387545	194	158	0.812820512821	0.900053448
37	0.880393147	0.884507537	629	513	0.815079365079	0.888001015
38	0.884509504	0.888254702	637	528	0.828369905956	0.817756871
39	0.888281703	0.955295205	487	417	0.855532786885	0.677633422
40	0.955348670	0.991043270	42	42	0.988372093023	0.0507952553
