block	raw_low	raw_high	rows	errors	calibrated_error	calibrated_mapq
0	0.00653504068	0.0156815983	66122	8	0.000128548311480	38.9093362
1	0.0156850498	0.0169126932	245	3	0.0142276422764	18.4686706
2	0.0169146676	0.0180421676	285	6	0.0227272727273	16.4345268
3	0.0180448219	0.0260065552	1134	35	0.0312775330396	15.0476751
4	0.0260439403	0.0268882569	25	1	0.0576923076923	12.3888209
5	0.0269191600	0.0294318534	30	2	0.0806451612903	10.9342169
6	0.0294544660	0.0392350256	87	9	0.107954545455	9.66759067
7	0.0392807797	0.0487768278	39	5	0.137500000000	8.61697302
8	0.0490336418	0.0767491236	53	7	0.138888888889	8.57332496
9	0.0791854635	0.124200471	29	4	0.150000000000	8.23908741
10	0.131352603	0.254089922	21	5	0.250000000000	6.02059991
11	0.255423516	0.341290325	15	4	0.281250000000	5.50907469
12	0.346999675	0.453259259	231	99	0.428879310345	3.67664904
13	0.453355670	0.494390637	549	268	0.488181818182	3.11418399
14	0.494398803	0.501672626	191	95	0.497395833333	3.03297857
15	0.501672685	0.501708984	4	2	0.500000000000	3.01029996
16	0.501792431	0.502778888	36	19	0.527027027027	2.78167113
17	0.502845645	0.503762722	30	16	0.532258064516	2.73877750
18	0.503880501	0.601857185	525	287	0.546577946768	2.62347895
19	0.601922274	0.632274747	101	64	0.632352941176	1.99040457
20	0.632438362	0.647784233	230	158	0.686147186147	1.63582713
21	0.647818148	0.648505986	14	10	0.700000000000	1.54901960
22	0.648516178	0.741055965	361	269	0.744475138122	1.28149801
23	0.741794884	0.781571746	117	92	0.783898305085	1.05740275
24	0.781582296	0.803706527	195	157	0.803571428571	0.949755132
25	0.803814054	0.843708456	119	96	0.804166666667	0.946539327
26	0.844541609	0.854744256	33	30	0.897058823529	0.471790777
27	0.855175257	0.877205133	490	463	0.943991853360	0.250317536
28	0.877224267	0.879258037	153	147	0.957792207792	0.187287005
29	0.879265785	0.896455407	2943	2839	0.964504076087	0.156959326
30	0.896483064	0.898311675	98	95	0.964646464646	0.156318230
31	0.898397624	0.974212468	211	205	0.969339622642	0.135240347
