block	raw_low	raw_high	rows	errors	calibrated_error	calibrated_mapq
0	0.00649885181	0.0600870401	218736	2	1.14292506526e-05	49.4198224
1	0.0603511482	0.0792881772	21	2	0.113636363636	9.44482672
2	0.0817032754	0.119871348	19	2	0.125000000000	9.03089987
3	0.123239025	0.236100584	17	2	0.138888888889	8.57332496
4	0.243753195	0.274181515	3	1	0.375000000000	4.25968732
5	0.276513755	0.355739713	15	6	0.406250000000	3.91206626
6	0.364420861	0.491354525	1680	813	0.483938132064	3.15210156
7	0.491391033	0.511103451	1137	559	0.491652021090	3.08342171
8	0.511264563	0.520950317	170	84	0.494152046784	3.06139401
9	0.521205962	0.605333090	179	91	0.508333333333	2.93851411
10	0.605527639	0.606424093	5	3	0.583333333333	2.34083206
11	0.606674552	0.644286215	453	295	0.650881057269	1.86498368
12	0.644348800	0.775126278	154	104	0.674193548387	1.71215408
13	0.775242388	0.778233767	40	29	0.719512195122	1.42961841
14	0.778318584	0.786025882	120	89	0.739669421488	1.30962335
15	0.786138713	0.862712502	198	159	0.801507537688	0.960923890
16	0.862726212	0.873123467	207	168	0.810096153846	0.914634298
17	0.873126864	0.886718035	1235	1019	0.824838187702	0.836312406
18	0.886743307	0.890108764	196	163	0.829949238579	0.809484692
19	0.890119255	0.890844047	15	13	0.843750000000	0.737862142
20	0.890877724	0.894855082	95	83	0.869791666667	0.605847576
21	0.894862473	0.958163142	26	23	0.870370370370	0.602959019
22	0.959183216	0.967264175	3	3	0.875000000000	0.579919470
