mode	regime	band	integer_cap	binding_domain	nominal_threshold	retained	errors	evidence_mapq
single	large	50-74	26	chm13	30	2175	2	26.384892570
single	large	75-99	28	chm13	30	2331	0	28.904210188
single	large	100-124	28	chm13	30	2596	1	28.122446968
single	large	125-174	39	chm13	30	42137	2	39.256936079
single	large	175-199	27	chm13	30	2619	2	27.191654941
single	large	200-224	29	chm13	30	2683	0	29.514994180
single	large	225-250	29	chm13	30	2756	0	29.631579585
single	small	50-74	10	ecoli	40	30	0	10.000000000
single	small	75-99	11	ecoli	40	45	0	11.760912591
single	small	100-124	22	fnucleatum	40	690	1	22.367890994
single	small	125-174	38	ecoli	40	34833	2	38.430208754
single	small	175-199	19	ecoli	40	244	0	19.102685716
single	small	200-224	13	ecoli	40	71	0	13.741370940
single	small	225-250	12	ecoli	40	48	0	12.041199827
paired	large	50-74	24	chm13	30	1891	4	24.315934888
paired	large	75-99	29	chm13	30	2987	0	29.981139679
paired	large	100-124	29	chm13	30	4232	2	29.275756547
paired	large	125-174	35	chm13	30	77310	19	35.458129924
paired	large	175-199	31	chm13	30	3941	0	31.184851801
paired	large	200-224	28	chm13	30	3721	2	28.716896657
paired	large	225-250	29	chm13	30	3647	1	29.598757720
paired	small	50-74	10	ecoli	40	50	1	10.969100130
paired	small	75-99	17	ecoli	40	166	0	17.429868333
paired	small	100-124	26	ecoli	40	2004	1	26.998377259
paired	small	125-174	39	fnucleatum	40	80326	6	39.506136315
paired	small	175-199	29	ecoli	40	3256	1	29.106244049
paired	small	200-224	28	scoelicolor	40	3140	1	28.948696567
paired	small	225-250	28	ecoli	40	2011	0	28.262908159
