mode	regime	band	integer_cap	binding_domain	nominal_threshold	retained	errors	evidence_mapq
single	large	50-74	26	chm13	30	2927	3	26.882714721
single	large	75-99	28	chm13	30	3163	1	28.980392006
single	large	100-124	29	chm13	30	3298	1	29.161906600
single	large	125-174	38	chm13	30	46689	3	38.910633218
single	large	175-199	30	chm13	30	3306	0	30.421815945
single	large	200-224	29	chm13	30	3382	1	29.271136119
single	large	225-250	30	chm13	30	3543	0	30.722498976
single	small	50-74	29	scoelicolor	40	3477	1	29.391446994
single	small	75-99	30	fnucleatum	40	3527	0	30.702842049
single	small	100-124	30	fnucleatum	40	3649	0	30.850526086
single	small	125-174	41	scoelicolor	40	50472	1	41.009905231
single	small	175-199	29	scoelicolor	40	3494	1	29.412629093
single	small	200-224	30	scoelicolor	40	3570	0	30.755469614
single	small	225-250	30	scoelicolor	40	3748	0	30.966783275
paired	large	50-74	31	chm13	50	4243	0	31.505517770
paired	large	75-99	32	chm13	50	4943	0	32.168693557
paired	large	100-124	32	chm13	50	5274	0	32.450188707
paired	large	125-174	44	chm13	50	88011	0	44.674157008
paired	large	175-199	31	chm13	50	5704	1	31.541195255
paired	large	200-224	32	chm13	50	5864	0	32.910727069
paired	large	225-250	33	chm13	50	6250	0	33.187587626
paired	small	50-74	32	scoelicolor	50	5188	0	32.378787127
paired	small	75-99	32	scoelicolor	50	5875	0	32.918866162
paired	small	100-124	31	scoelicolor	50	6080	1	31.818435879
paired	small	125-174	45	scoelicolor	50	99614	0	45.211991248
paired	small	175-199	33	scoelicolor	50	6570	0	33.404441148
paired	small	200-224	33	fnucleatum	50	6630	0	33.443922737
paired	small	225-250	33	scoelicolor	50	6940	0	33.642382157
